Epoch,Tot_Epochs,Iter,Tot_Iters,loss,Elapsed_time,val0_tr1
9, 10, 260, 311, 0.1542, 4:39:34.378957, 1
9, 10, 270, 311, 0.1500, 4:40:31.631030, 1
9, 10, 280, 311, 0.1388, 4:41:29.368148, 1
9, 10, 290, 311, 0.1448, 4:42:26.619196, 1
9, 10, 300, 311, 0.1338, 4:43:24.268497, 1
9, 10, 310, 311, 0.1411, 4:44:21.249761, 1
9, 10, 10, 311, 0.1482, 4:44:58.548594, 0
9, 10, 20, 311, 0.1114, 4:45:29.200564, 0
9, 10, 30, 311, 0.1314, 4:46:01.259649, 0
9, 10, 40, 311, 0.1230, 4:46:33.323345, 0
9, 10, 50, 311, 0.1418, 4:47:05.754562, 0
9, 10, 60, 311, 0.1202, 4:47:37.453554, 0
9, 10, 70, 311, 0.1281, 4:48:10.004493, 0
9, 10, 80, 311, 0.1240, 4:48:41.273267, 0
9, 10, 90, 311, 0.1201, 4:49:10.468113, 0
9, 10, 100, 311, 0.1267, 4:49:42.126223, 0
9, 10, 110, 311, 0.1262, 4:50:08.563694, 0
10, 10, 10, 311, 0.1554, 4:51:31.646344, 1
10, 10, 20, 311, 0.1412, 4:52:28.542094, 1
10, 10, 30, 311, 0.1469, 4:53:24.956862, 1
10, 10, 40, 311, 0.1601, 4:54:21.410014, 1
10, 10, 50, 311, 0.1341, 4:55:17.801222, 1
10, 10, 60, 311, 0.1500, 4:56:14.258882, 1
10, 10, 70, 311, 0.1264, 4:57:11.280541, 1
10, 10, 80, 311, 0.1514, 4:58:10.731199, 1
10, 10, 90, 311, 0.1480, 4:59:08.818237, 1
10, 10, 100, 311, 0.1585, 5:00:06.253546, 1
10, 10, 110, 311, 0.1607, 5:01:03.329023, 1
10, 10, 120, 311, 0.1326, 5:02:00.852442, 1
10, 10, 130, 311, 0.1521, 5:02:58.086257, 1
10, 10, 140, 311, 0.1516, 5:03:55.613687, 1
10, 10, 150, 311, 0.1450, 5:04:53.349124, 1
10, 10, 160, 311, 0.1298, 5:05:50.959605, 1
10, 10, 170, 311, 0.1551, 5:06:48.343667, 1
10, 10, 180, 311, 0.1291, 5:07:45.983104, 1
10, 10, 190, 311, 0.1358, 5:08:43.798323, 1
10, 10, 200, 311, 0.1471, 5:09:41.249048, 1
10, 10, 210, 311, 0.1796, 5:10:38.942521, 1
10, 10, 220, 311, 0.1477, 5:11:36.707757, 1
10, 10, 230, 311, 0.1508, 5:12:34.155411, 1
10, 10, 240, 311, 0.1387, 5:13:31.744319, 1
10, 10, 250, 311, 0.1753, 5:14:29.392217, 1
10, 10, 260, 311, 0.1613, 5:15:27.066858, 1
10, 10, 270, 311, 0.1511, 5:16:24.947629, 1
10, 10, 280, 311, 0.1367, 5:17:22.680122, 1
10, 10, 290, 311, 0.1410, 5:18:20.414112, 1
10, 10, 300, 311, 0.1616, 5:19:18.358652, 1
10, 10, 310, 311, 0.1689, 5:20:15.992835, 1
10, 10, 10, 311, 0.1402, 5:20:53.686895, 0
10, 10, 20, 311, 0.1286, 5:21:25.746538, 0
10, 10, 30, 311, 0.1325, 5:21:57.146838, 0
10, 10, 40, 311, 0.1354, 5:22:29.315693, 0
10, 10, 50, 311, 0.1107, 5:22:59.614446, 0
10, 10, 60, 311, 0.1332, 5:23:30.210907, 0
10, 10, 70, 311, 0.1304, 5:24:00.603207, 0
10, 10, 80, 311, 0.1242, 5:24:32.398765, 0
10, 10, 90, 311, 0.1303, 5:25:01.562241, 0
10, 10, 100, 311, 0.1292, 5:25:34.403414, 0
10, 10, 110, 311, 0.1180, 5:26:03.142495, 0
