Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
10, 10, 220, 311, 0.1205, 5:02:44.300948, 1
10, 10, 230, 311, 0.1439, 5:03:41.770768, 1
10, 10, 240, 311, 0.1227, 5:04:39.532285, 1
10, 10, 250, 311, 0.1182, 5:05:36.877438, 1
10, 10, 260, 311, 0.1313, 5:06:34.476923, 1
10, 10, 270, 311, 0.1193, 5:07:32.143265, 1
10, 10, 280, 311, 0.1597, 5:08:30.076004, 1
10, 10, 290, 311, 0.1096, 5:09:27.936847, 1
10, 10, 300, 311, 0.1358, 5:10:25.717193, 1
10, 10, 310, 311, 0.1244, 5:11:23.458612, 1
10, 10, 10, 311, 0.1250, 5:12:01.387350, 0
10, 10, 20, 311, 0.1227, 5:12:32.825676, 0
10, 10, 30, 311, 0.1242, 5:13:03.136027, 0
10, 10, 40, 311, 0.1369, 5:13:33.088480, 0
10, 10, 50, 311, 0.1300, 5:14:04.692453, 0
10, 10, 60, 311, 0.1482, 5:14:35.068809, 0
10, 10, 70, 311, 0.1249, 5:15:06.782625, 0
10, 10, 80, 311, 0.1409, 5:15:37.855334, 0
10, 10, 90, 311, 0.1366, 5:16:09.853601, 0
10, 10, 100, 311, 0.1293, 5:16:40.246085, 0
10, 10, 110, 311, 0.1240, 5:17:08.301635, 0
